columna,qué mide,origen,tipo,zona,decisión,¿existiría al predecir?,dónde queda,motivo
match_id,Identificador del partido (clave primaria: una fila = un partido).,fuente,entero,—,IDENTIFICADOR,SÍ,silver,"Clave, no feature: su valor no dice nada del partido."
fecha,Fecha del partido.,fuente,fecha,—,AUXILIAR,SÍ,silver,Se conserva para separar train/test en el tiempo; no es feature.
temporada,Temporada (ej. 2012/2013).,fuente,texto,—,AUXILIAR,SÍ,silver,Se conserva para cortes temporales; como feature solo identificaría la época.
jornada,Número de fecha dentro de la temporada.,fuente,entero,amarillo,ENTRA,SÍ,silver,"Pre-partido y barata, pero sin señal marginal en el EDA (tasa real - probabilidad implícita entre -1,2 y +0,2 pp por tramo de jornadas)."
liga,Liga del partido.,fuente,categórica,amarillo,ENTRA,SÍ,silver,"Pre-partido. Señal débil (test de razón de verosimilitud p = 0,06; tasa real - probabilidad implícita por liga entre -2,1 y +1,5 pp)."
odds_source,"Casa de apuestas de la que salen las cuotas de la fila (PS = Pinnacle, B365 = Bet365, BW = bwin).",calculada,texto,—,AUXILIAR,SÍ,silver,"Trazabilidad. No es feature: está confundida con la época (B365 hasta 2011/12, PS desde 2012/13)."
prob_home,Probabilidad implícita normalizada de victoria local.,calculada,decimal,—,AUXILIAR,SÍ,silver,Define al favorito y valida prob_home + prob_draw + prob_away = 1. Como feature es redundante con prob_favorito/prob_no_favorito + equipo_favorito.
prob_draw,Probabilidad implícita normalizada de empate.,calculada,decimal,verde,ENTRA,SÍ,silver,Precio de mercado anterior al partido. Un empate también es 'no gana el underdog'.
prob_away,Probabilidad implícita normalizada de victoria visitante.,calculada,decimal,—,AUXILIAR,SÍ,silver,Idem prob_home.
equipo_favorito,Qué equipo es el favorito: 'local' o 'visitante'.,calculada,categórica,verde,ENTRA,SÍ,silver,"Ubica la localía del underdog: el underdog local gana 0,6 pp más de lo que dice el mercado y el visitante 0,8 pp menos."
prob_favorito,Probabilidad implícita de victoria del favorito.,calculada,decimal,—,AUXILIAR,SÍ,silver,Define el umbral (prob_favorito - prob_no_favorito > 0.05). Como feature es derivable: 1 - prob_draw - prob_no_favorito.
prob_no_favorito,Probabilidad implícita de victoria del underdog.,calculada,decimal,verde,ENTRA,SÍ,silver,Feature principal: el mercado está calibrado (hipótesis del EDA) y es la línea de base a superar.
nofav_xi_overall_mean_gap,Ventaja del underdog en calidad media del once titular. Positivo = el underdog es superior.,calculada,decimal,amarillo,ENTRA,SÍ,silver,"Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Aporta información por encima del mercado pero chica (hipótesis 2: inconclusa); correlación 0,93 con nofav_top3_overall_gap."
nofav_top3_overall_gap,Ventaja del underdog en calidad de las 3 figuras del once. Positivo = el underdog es superior.,calculada,decimal,amarillo,ENTRA,SÍ,silver,"Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Correlación 0,96 con nofav_best_overall_gap y 0,93 con nofav_xi_overall_mean_gap."
nofav_best_overall_gap,Ventaja del underdog en calidad del mejor jugador en cancha. Positivo = el underdog es superior.,calculada,decimal,amarillo,ENTRA,SÍ,silver,"Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Correlación 0,96 con nofav_top3_overall_gap: casi la misma información; la etapa de modelado puede quedarse con una de las dos."
nofav_worst_overall_gap,Ventaja del underdog en el eslabón más débil del once. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_overall_std_gap,Ventaja del underdog en dispersión del once (equipo parejo vs. dependiente de figuras). Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_gk_overall_gap,Ventaja del underdog en calidad del arquero titular. Positivo = el underdog es superior.,calculada,decimal,amarillo,ENTRA,SÍ,silver,"Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Evidencia mixta (hipótesis 3): mejora el ajuste dentro de muestra (p = 0,0015) pero no la predicción fuera de muestra."
nofav_def_overall_gap,Ventaja del underdog en calidad de la línea defensiva que salió a jugar. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_mid_overall_gap,Ventaja del underdog en calidad del mediocampo que salió a jugar. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_att_overall_gap,Ventaja del underdog en calidad de la línea de ataque que salió a jugar. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_fastest_sprint_speed_gap,Ventaja del underdog en velocidad del jugador más rápido. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
